Year	Mean_Anomaly	ssp_585
1979	-1.19976	-1.19927
1980	-1.18985	-0.87357
1981	-1.16928	-0.73492
1982	-1.24132	-0.88432
1983	-1.32766	-1.45021
1984	-1.33233	-1.30761
1985	-1.26597	-1.20548
1986	-1.2618	-1.23983
1987	-1.36657	-1.05089
1988	-1.11835	-0.67456
1989	-1.20543	-1.1292
1990	-0.88658	-0.74529
1991	-1.22232	-1.21464
1992	-1.53887	-1.75544
1993	-1.38657	-1.53433
1994	-1.14932	-1.27073
1995	-1.12443	-0.89654
1996	-1.11663	-1.15281
1997	-1.02066	-0.82061
1998	-1.03682	-0.90949
1999	-1.10259	-1.27877
2000	-1.13592	-1.12425
2001	-0.74972	-0.48019
2002	-1.01514	-0.54193
2003	-1.08214	-1.10138
2004	-1.13531	-1.11549
2005	-0.92094	-0.95966
2006	-0.988	-1.10876
2007	-1.09974	-1.13238
2008	-0.76606	-0.51017
2009	-0.79437	-0.35454
2010	-0.85642	-0.53384
2011	-0.93845	-1.08164
2012	-0.83127	-1.05306
2013	-0.6779	-0.56828
2014	-0.7058	-1.03927
2015	-0.78036	-0.92628
2016	-0.80365	-0.93919
2017	-0.83432	-1.15687
2018	-0.50811	-0.0249
2019	-0.5409	-0.36318
2020	-0.45379	-0.02287
2021	-0.62869	-0.6875
2022	-0.72592	-0.88596
2023	-0.41888	-0.29591
2024	-0.59526	-0.91745
2025	-0.50596	-0.60064
2026	-0.42227	-0.53314
2027	-0.50628	-0.71423
2028	-0.56115	-0.78838
2029	-0.38193	-0.1822
2030	-0.71449	-1.38629
2031	-0.46442	-0.79248
2032	-0.47537	-0.54807
2033	-0.42396	-0.64947
2034	-0.20553	0.08501
2035	-0.28698	-0.53165
2036	-0.37962	-0.81259
2037	-0.24637	-0.44227
2038	-0.26916	-0.37078
2039	-0.19603	-0.32154
2040	-0.34612	-0.37047
2041	-0.32916	-0.55248
2042	-0.05708	-0.15618
2043	-0.11109	-0.23745
2044	-0.27006	-0.30926
2045	0.03121	0.2016
2046	0.18157	0.05043
2047	0.06369	0.05764
2048	-0.09957	-0.48672
2049	0.09345	0.04881
2050	0.22248	0.10403
2051	0.24755	0.30987
2052	0.16468	0.26147
2053	0.09796	0.10727
2054	0.25044	0.42426
2055	0.43074	0.44122
2056	0.48394	0.52494
2057	0.40938	0.35469
2058	0.59598	0.82511
2059	0.55842	0.79817
2060	0.45531	0.13538
2061	0.63152	0.43074
2062	0.62181	0.6706
2063	0.57936	0.76913
2064	0.58354	0.59137
2065	0.56468	0.3176
2066	0.64677	0.47019
2067	0.71942	0.71631
2068	0.65214	0.8291
2069	0.89436	0.77627
2070	0.86892	0.67943
2071	0.91056	0.93168
2072	0.80663	0.7285
2073	0.89811	1.03778
2074	1.10572	1.23387
2075	0.92109	0.60675
2076	1.07725	1.09655
2077	1.0283	0.92108
2078	1.14474	1.35172
2079	1.39302	1.50446
2080	0.96913	1.15165
2081	0.9843	0.86481
2082	1.2466	1.34016
2083	1.15261	1.45218
2084	1.22326	1.06869
2085	1.38257	1.59644
2086	1.53943	1.68825
2087	1.48349	1.56252
2088	1.42213	1.48411
2089	1.45116	1.34978
2090	1.51177	1.59727
2091	1.79638	2.10422
2092	1.76553	1.96494
2093	1.69738	1.50457
2094	1.68802	1.83317
2095	1.54181	1.4544
2096	1.86002	1.91872
2097	1.71359	1.2942
2098	1.77051	1.76313
2099	1.86944	1.7498
2100	2.09891	1.90369
